Record Length,45000,,Source,CH1
Sample Interval,CH1:0.0004000000000,,Second,Volt
,,,-8.95160000000,0.20000,
,,,-8.95120000000,0.40000,
,,,-8.95080000000,0.40000,
,,,-8.95039900000,0.40000,
,,,-8.95000000000,0.40000,
,,,-8.94960000000,0.40000,
,,,-8.94920000000,0.40000,
,,,-8.94880000000,0.40000,
,,,-8.94840000000,0.40000,
,,,-8.94800000000,0.40000,
,,,-8.94759900000,0.40000,
,,,-8.94720000000,0.40000,
,,,-8.94680000000,0.40000,
,,,-8.94640000000,0.40000,
,,,-8.94600000000,0.40000,
,,,-8.94560000000,0.40000,
,,,-8.94520000000,0.40000,
,,,-8.94479900000,0.40000,
,,,-8.94440000000,0.40000,
,,,-8.94400000000,0.60000,
,,,-8.94360000000,0.60000,
,,,-8.94320000000,0.60000,
,,,-8.94280000000,0.60000,
,,,-8.94240000000,0.60000,
,,,-8.94199900000,0.60000,
,,,-8.94160000000,0.60000,
,,,-8.94119900000,0.40000,
,,,-8.94080000000,0.60000,
,,,-8.94040000000,0.60000,
,,,-8.94000000000,0.60000,
,,,-8.93960000000,0.60000,
,,,-8.93919900000,0.40000,
,,,-8.93880000000,0.40000,
,,,-8.93839900000,0.40000,
,,,-8.93800000000,0.60000,
,,,-8.93760000000,0.60000,
,,,-8.93720000000,0.40000,
,,,-8.93680000000,0.40000,
,,,-8.93639900000,0.40000,
,,,-8.93600000000,0.40000,
,,,-8.93559900000,0.40000,
,,,-8.93520000000,0.40000,
,,,-8.93480000000,0.40000,
,,,-8.93440000000,0.40000,
,,,-8.93400000000,0.40000,
,,,-8.93359900000,0.40000,
,,,-8.93320000000,0.40000,
,,,-8.93279900000,0.40000,
,,,-8.93240000000,0.60000,
,,,-8.93200000000,0.40000,
,,,-8.93160000000,0.40000,
,,,-8.93120000000,0.40000,
,,,-8.93079900000,0.40000,
,,,-8.93040000000,0.40000,
,,,-8.92999900000,0.60000,
,,,-8.92960000000,0.40000,
,,,-8.92920000000,0.60000,
,,,-8.92880000000,0.60000,
,,,-8.92840000000,0.60000,
,,,-8.92799900000,0.60000,
,,,-8.92760000000,0.60000,
,,,-8.92719900000,0.80000,
,,,-8.92680000000,0.80000,
,,,-8.92640000000,0.60000,
